pair,n_snps,main_beta,main_p,loo_min_beta,loo_max_beta,loo_min_p,loo_max_p,n_flipped,n_loo_p_gt_05,stable
吸烟起始 -> 冠心病,90,0.251845615703304,5.34417015140984e-07,0.244549270716872,0.276900186694629,5.43460061061238e-08,1.45578958028744e-06,0,0,TRUE
吸烟起始 -> 肺癌,81,0.460974451161024,5.94222760445011e-07,0.459659135825896,0.517674277309399,7.10501497542261e-09,5.94252618782131e-07,0,0,TRUE
吸烟起始 -> 缺血性脑卒中,91,0.145516452999956,0.00177472797082493,0.105833030659602,0.13539442162394,0.004537587153465,0.0264788535015983,0,0,TRUE
吸烟起始 -> 心力衰竭,92,0.242501876945524,5.73620575045512e-07,0.227427562801614,0.258809735763627,3.01401678752304e-08,1.73871022901766e-06,0,0,TRUE
吸烟起始 -> 慢阻肺,92,0.658823081178385,7.60022245731344e-24,0.640790071584784,0.679677473088201,1.1334091945666e-27,2.23146837150283e-22,0,0,TRUE
吸烟起始 -> 2型糖尿病,82,0.26776218245297,1.10262238314366e-05,0.223972606842603,0.271758531549772,7.49707259511775e-06,0.000152536563607529,0,0,TRUE
饮酒频率 -> 心力衰竭,98,0.174651057377688,0.00131457722001471,0.161433373172106,0.22956743545409,6.03241105599471e-05,0.00199747534057957,0,0,TRUE
饮酒频率 -> 慢阻肺,100,0.2531140739214,0.000708881740826367,0.236882051094119,0.298497222551861,9.46165049053892e-05,0.00131090162527898,0,0,TRUE
饮酒频率 -> 2型糖尿病,68,0.245314631986179,0.0443912901923002,0.172594265400418,0.417338555859286,0.000640262005057174,0.115181687628823,0,61,FALSE
NO2空气污染 -> 冠心病,8,-1.09010219933339,0.0499104408174596,-1.32425454109097,-0.461818525750128,0.0244613913434376,0.167107627939344,0,5,FALSE
NO2空气污染 -> 缺血性脑卒中,7,0.742101973376695,0.0129587147072586,-0.031306660257071,0.247016049616539,0.40017084128401,0.977357525131778,2,8,FALSE
咖啡摄入 -> 冠心病,39,0.489084908970845,0.00109530148435713,0.38818360326194,0.60368963190102,0.000165097208926878,0.0114173333901501,0,0,TRUE
咖啡摄入 -> 2型糖尿病,29,1.20353306610224,0.00146565144670578,0.938295341913442,1.66484544147213,0.000234739292615409,0.00462670097108397,0,0,TRUE
新鲜水果摄入 -> 心力衰竭,8,0.357848463068578,0.0460021810734751,0.351588124182203,1.26083037661607,0.130358448996164,0.297701025676711,0,8,FALSE
